text,label
Bello jeka ka ɗauko kusa asa kofa,hausa
Akwai sinadaran gyaran jiki a cikin maganin reload.,hausa
Shanshani din Yana tafiya à sannu.,hausa
A wasu makarantun ana koyawa yara faɗan karat,hausa
Ana biki a gidanku Kare ya ce mu gani a ƙasa,hausa
Akwai illoli masu yawa a intanet.,hausa
"Nafi don labaran zainab, Akan na Khadijah.",hausa
Matar abokina za ta tafi wari mako mai zuwa ta jirgin kasa,hausa
Shin ko zaka je bikin dodo?,hausa
Sufuri shine tashiwan mutani ko hidima daga wurin daya zuwa wani.,hausa
"Akwai kamfanoni daban-daban da ke kera manyan motoci misali Man diesel, Actross da sauransu.",hausa
Yaro dole yaji abun da iyayen shi zasu fada mai,hausa
"Idan kina cin abinci daidai gwargwado, zaka jin uzuri don gamsar da matar ka a gado",hausa
Eh na iya yaren turanci.,hausa
Fitar da duk kayan ku daga ɗakin kwana na jami'a.,hausa
Manya na gyara wa yara kuskuran su,hausa
Kunna mini waƙa!,hausa
Na siyowa mahaifiyata abarba jiya a kasuwar Na'ibawa.,hausa
Yin amfani da kwayoyi fiye da kima na iya haifar da mummunar illa ga lafiya.,hausa
"Kotunan wasan ƙwallon kwando suna rawar jiki tare da ƙarfin rhythmic, sneakers suna kururuwar kide kide na gasa.",hausa
Ƙaramin yaron daga aji ɗaya na firamare yake,hausa
Bob Mali ya shahara a da.,hausa
Wuce ki tafi fref.,hausa
Kama mana ɗaki.,hausa
Masanan kimiyya za su gano sababbin ƙwari.,hausa
Akwai wani shiri na faɗaɗa noman goba a Legas nan gaba?,hausa
Shin Khadija da Khalid suna da na'urar sanyi a dakin kwanansu lokacin suna yara?,hausa
Baban mu yana koya mana hudan doya,hausa
Shugaban makaranta na ba malamai shawara,hausa
Bankin Unity yana kan hanyar da za ta ɓullo da sabbin kayayyakin hada-hadar kuɗi.,hausa
Akwai ajujuwa dayawa.,hausa
Gobe zan kawo kazan da za mu yi jallaf da ita.,hausa
Ana iya gudu da ƙafafu.,hausa
Binta ce ta yanka gwanda?,hausa
Za mu kai ziyara gidan wata ƙawarmu shi ne muka wuce kasuwa domin mu siyo mata kankana da ayaba.,hausa
Shekara hudu ake gama karatun digiri a jamia,hausa
Masu riƙe wasanni suna kula da 'yan wasan da kyau don tabbatar da cewa sun bi ka'idojin wasan.,hausa
Malamai ke koyawa ɗaliban firamari halin kwarai,hausa
Suna fuskantar ambaliyar ruwa a kowacce shekara lokacin damuna.,hausa
Ni ba munafuki ba ne.,hausa
Akwai kafinta a nan kusa?,hausa
Ganin zumar wani kar yasa ka zubar da maɗacin ka.,hausa
Ina siyan wasu abubuwan da nake so in kai wa kaka a gidan tsofaffi.,hausa
Sun ji kunya sosai da suka fahimci ana kallon su da suke faɗa.,hausa
Ba na son fita da sassafe.,hausa
"Eh, na miƙa.",hausa
Na ci abinci a tashan mota ta jabi,hausa
Wani likita aka naɗa sabon shugaban gidan mahaukatan.,hausa
Lallai dakin kwamfuta ba shi da kayan aiki.,hausa
Za a gano sabbin abinci a nan gaba.,hausa
Yarinyar ta kulle ni a Facebook.,hausa
Zo ka zauna a kan kujera yanzu.,hausa
lado ya ci kaji lokacin da aka yi masa kaciya,hausa
Mun soya waina da funkaso ranar sallah.,hausa
ciryfto yana mamaye bankunan kasuwanci a Najeriya,hausa
Jaridar Triump jarida ce ta buga labarin sakamakon zaben Jigawa.,hausa
"Sojoji suna taka muhimmiyar rawa a cikin soja, ƙware a yaƙin ƙasa.",hausa
Eh na siya bakin alabo da mamafut din.,hausa
Karfe hudu lokaci ne na tatsuniyoyinmu.,hausa
Akwai filin wasa da kuma gidan wasan kwaikwayo na proscelum,hausa
Yawancin mata suna son kayan ado masu launin shuɗi,hausa
Kowane tafkin ruwa yana da sashin yara.,hausa
Mutum biyu ne suka hada gurasar.,hausa
Jami'in shige da fice yana duba akwati na.,hausa
Kwantena na ta saukl.,hausa
Auren shirya sun kasance ruwan dare a baya.,hausa
Mai kula da pasanja rashin mutuncin ta yayi yawa,hausa
Ɗaya ga junairu shi ne sabuwar shekara.,hausa
An Kai ni makarantar koyon kafintanci,hausa
Ina soya kaji don cin abincin dare.,hausa
Likita ne ke rubuta maganin da za a siya.,hausa
Kun gaida tsohon da kuka wuce?,hausa
Za'a iya aske gashi da reza.,hausa
Shin yaron yayarku zai zo lokacin hutun makaranta?,hausa
Mutumin nan da ke dab'i ya rasu jiya,hausa
Eh ni frodusa ne,hausa
Kurkum yana sa fata tayi laushi,hausa
Iyalin Ezenna su ne na gaba da mulki bayan Martins.,hausa
"E, zai yarda ya je gidan kula da marasa lafiya.",hausa
Wanene ya taimaka maka da kayan?,hausa
Ka na so kaji batun yaƙin da ake yi?,hausa
Ina a dandalin kauyen jiya.,hausa
hotel ɗin tausa yawanci mata ne suke amfani da shi,hausa
An fi ganin fara a wajen ciyayi.,hausa
An bashi kyautar sukarin Mai-kwabo har katan biyu.,hausa
"Dabbobin daji kamar macizai, damisa sun rayu a cikin dajin",hausa
Mutuwa babu makawa ga kowace rayuwa.,hausa
Zanyi wanka a bayin anjima,hausa
Ina sauraron kiɗan waje.,hausa
Gwamnati za ta iya inganta ci gaban tattalin arziki?,hausa
Akwai nau'ikan kayayyaki da ake sayarwa a cikin kantin sayar da kayayyaki.,hausa
Me ciki Tasha maganin ta na awo,hausa
Shin ka taba yin zabe a baya?,hausa
Takaddun bayanai da farfaɗo da harshe na harsunan Najeriya da ke cikin haɗari suna ƙoƙari.,hausa
A falo ni ke kwana,hausa
A da kirarin Zamfara shi ne gidan amfanin gona amma yanzu ya canja.,hausa
"A bara, Sarah da Tom sun yi bikin aurensu tare da kyakkyawan bikin aure na coci.",hausa
"Yawan amai, yawan kiwon kai, da yawan kasala.",hausa
Haƙori yake yi.,hausa
Wutan gidan bai da haske sosai,hausa
Ya daɗe da fankan gidan nan ya daina aiki.,hausa
Muna da hanyoyi biyu na samun aihuwa.,hausa
Eh tayar ta sha wahala.,hausa
Anasamun ƴan ƙabilar yarabawa a maƙwaftan ƙasashe irinsu Benin da Togo.,hausa
Babar ta na kiran da suwethat,hausa
Kuna cikin dangantaka?,hausa
A teburin sabis ga abokan ciniki. ana samun bayanai da zasu taimaki ma su siyayya cikin manyan kantuna,hausa
Kamu biyar ne Sale ya auna.,hausa
Yanar-gizo yakawo saukin Ƙashe Ƙudi da wahala wajan aika sako,hausa
Kulorakwin za ta saka ki ƙaiƙayi.,hausa
Mun je ganin yanayin gonar ne.,hausa
iyaye na Kai yaransu koyan kafinta,hausa
"Ee, zan saya muku sabon saitin rediyo",hausa
wannan gadar saman ya yi tsaho da yawa,hausa
Ina da motoci guda biyu kacal,hausa
Oh! ya mutu saboda zazzabin cizon sauro.,hausa
"Kafin a buga littafi, ana gyara shi.",hausa
Zainab ta sa maganin ƙwari makon da ya gabata,hausa
Tatsuniyoyi na sa nishaɗi.,hausa
"Suna ci gaba da yabon sa zakara, zakara",hausa
Ba zai yi wasu hotunan kafin aure ba.,hausa
A kan mashin jiya muka tafi ta'aziyan Liman Sale.,hausa
Za a yi kalankuwa bana.,hausa
za'a Kai wa ƴan gidan kurkuku tallafi,hausa
Mutum na iya rayuwa da ciwon kanjamau,hausa
A Nijeriya kullum cikin kama ɓarayi ake.,hausa
Banki mara riba shine ma'aikatan kuɗi da suƙe tanada ayyukan banki na gargajiya.,hausa
Ana samu wajajen sai da naman tsire a cikin gari,hausa
Cin zali yana jefa yaro cikin damuwa,hausa
Ac yana nufin na'urar sanyaya iska.,hausa
ina son girki,hausa
Domin abokina yana tsorata ni.,hausa
Audu yana kallon youtube.,hausa
Sun saka farashi mai tsada kan soyayyen dankalin da suke sayarwa a wani wurin sayar da abinci.,hausa
"Aminu ya ce, an yi masa kaciya tare da ƴan uwansa sanda yana shekara takwas.",hausa
Ɗalibai za su koma aji idan an kaɗa ƙararrawa..,hausa
Wasu mutane na tafiya mai tsawo a ƙafa.,hausa
Gwamnatin tarayyar Najeriya ba za ta iya shigo da motar lantarki ba saboda rashin kwanciyar hankali da suke da shi,hausa
kamfen ɗin wayar da kan ƴan mata zai yi tasiri?,hausa
Maganin gargajiya shine farko magani da mutun ya sani,hausa
Ni makeri me.,hausa
Ka ba shi kuɗin motar yanzu.,hausa
"Ee, muna jin daɗin girma a cikin ghetto.",hausa
A'a ba zan iya samun ka a zauren ba.,hausa
Tatsuniya yana ilimantar da yara harma da manya.,hausa
Ya tuƙa kan sa,hausa
Fagans su ne wanda basu yarda da daya daga cikin addinan da ake dasu ba.,hausa
Ka gama gyaran kofofin?,hausa
Tanason kula da dabbobi kuma inason hakan agareta,hausa
bura harshen mutanen biu,hausa
Mai tukin jirgin ruwa ya gaji,hausa
Ku ci goro.,hausa
soja na zuwa yaki.,hausa
Onga ya fi maggi dadi,hausa
Ba ta makullin yanzun nan.,hausa
A kasuwa aka saya.,hausa
Ku yi min gaskiya.,hausa
Zai bada lacca akan gine gine gobe,hausa
Mutane sun ce Mutane mu na yanzu ba abun yarda bane.,hausa
A ba matukin wani Abu!,hausa
Sarautar gargajiya nabin salsalar mutum ne,hausa
"A'a, bana cikin ɗakin koyarwa lokacin da malam ya shiga.",hausa
Kayan lambu yawanci kore ne a launi.,hausa
Kazo kasha labari.,hausa
ajiye dubu daya da dari daya da sha biyu Yan zun Nan.,hausa
Wasu gidaje ba su da banɗaki.,hausa
Shugaban ƙasa zai naɗa wasu sababbin ministoci gobe.,hausa
Zan samo wanda zai koya min Ƴarbanci.,hausa
Tsangayar Kimiyyar Halittu tana ba da shirye-shirye da suka shafi bangarori daban-daban na rayayyun halittu.,hausa
"Tabbas, ta can ake bikin.",hausa
Mahauta ke sayar da nama,hausa
An kusan fara kokawa din.,hausa
Akwai matuƙar kunya tsakanin surukai.,hausa
Ya yanyanke itacen kanana ga kujera.,hausa
bandaki matattarar shedanu ce,hausa
Akwai sashe kala kala a jami'a,hausa
Ban ji ɗadin zama cikin abin hawa ɗinnan ba.,hausa
lado yana son cin ƙwaƙwalwar,hausa
Ana faɗin kacici kacici ne sannan masu ji su tsammaci ma'anarta,hausa
Wasu kayan ado na dodo ana yi daga yadudduka .,hausa
Unguwannin manyan masu kuɗi suna d aabubuwan more rayuwa.,hausa
Birnin Paris na da ga cikin birane ma su kyau a Turai.,hausa
"Ee, yana riƙe.",hausa
Ana iya yin ado da zane ta amfani da allura da zaren.,hausa
Nayi tinanin ko yana da salon aski iri daban daban.,hausa
Faransanci. shi ne yaren hukuma a Jamhuriyar Binin,hausa
Mafi yawancin bakuna suna amfani da ƙofar lantarki a babbar mashigar gininsu.,hausa
Talabijin ɗin wajen gyaran gashin tana yi?,hausa
Ya kware sosai wurin kwamfuta da masarrafin zane,hausa
"Na'am, na taba ganin jirgin ruwa",hausa
Gobe ki tabbata kin tafi kasuwan Zaria.,hausa
Na yi rashin lafiya lokacin tafiya ta jirgin ruwa,hausa
A Sahad stores ka siya talabijin ɗin?,hausa
Eh na iya iyo,hausa
Me ya sa baban ku ya ƙara aure?,hausa
Hukuncin zamba shi ne tarar nera milian goma ko shekaru biyar a kurkuku.,hausa
Ciwon kai ya kwantar da ita.,hausa
Bankuna suna bude kananan asusu da manya asusun ajiya.,hausa
Tuwo nake marmarin ci,hausa
To! ba zan sake shiga ɗakin kwanan ki ba.,hausa
"Mama ta ce ""Yara albarku daga Allah me.""",hausa
Matan basa kishi ko kadan.,hausa
Yahaya yayi waka sosai da garaya.,hausa
Za ki iya aiki a kurkuku?,hausa
Kun san bambamcin tayar mashin da na keke?,hausa
Garwa na ruwa dinnan na roba ne,hausa
Mafi yawancin ƙasashen larabawa suna amfani da tsarin sarauta a gwamnatin su,hausa
Masu goge-goge su suke share ajujuwan darasi da banɗakunan ɗalibai.,hausa
Gani bai kori ji ba?,hausa
Miyar agushin tayi daɗi kuwa?,hausa
Akwai mutane masu son ƙasar su sosai.,hausa
Yana ta hannun daman ka,hausa
Zan nemi maganin amosanin kai,hausa
Wayan wuta ta ja shi jiya.,hausa
Na ɗauki wasu jaka a kafaɗa na.,hausa
Ina so in koyi yadda ake buga kalangu.,hausa
Ana amfani da kwalta idan za a gyara babban titi,hausa
Akwai kuraje a fuskar amarya,hausa
Da madara da kwai ake madarar yogut.,hausa
Direbobi suna biyan fasin kofa a cikin Motar Park,hausa
za ka iya fassara ƙarin maganar sa?,hausa
Sarkin Ungwan doma ya ce yana son gina karin aji ma makarantan Sabo.,hausa
Bright zai haɓaka aiwatar da tsarin kewayawa na ci gaba a tashar tekun Imo.,hausa
An kammala aikin sitintin masallacin tare da kwano.,hausa
eh a coci za a daure aure,hausa
A Abuja Ahmad da Amina ƴan wasan barkwanci na soyayya ne,hausa
Na san wani lauya mai wayo da zai iya riƙe kes din.,hausa
Yaushe za ka siya sabon kayan makaranta?,hausa
Wana otal ne yafi girma a najeriya?,hausa
Ana amfani da mota wajen zirga-zirga yau da kullum.,hausa
Wacce kalar hula ka sa a ranar bikinka?,hausa
Dalar Amurka ta Nairar Nijeriya daraja.,hausa
"yace da shi "" ka sameni a ofis!""",hausa
Ana jona Kayan lantarki a akwatin wuta,hausa
Tirken lantarki na da wayoyin lantarki a kansa.,hausa
Sani ne yake shuka gwaiba.,hausa
Babban yaya na yana aiki a'kan takaddan shi. Za'a bugo shi ba da daddewa ba.,hausa
Gallas wani nau'i ne na aski inda za'a yanke bangarorin biyu na gashin bar gashi a tsakiyar kai.,hausa
Mun je leburare yin karatu jiya da yamma,hausa
Wasu na zuwa hotal don shiga ruwan ninkaya,hausa
Mama na ta taba zuwa faransa,hausa
Muna da dogayen itatuwan kwakwa guda biyu a gidanmu,hausa
Na damu lokacin da aka haramta aiki da Twitter a Najeriya a mulkin Muhammad Buhari,hausa
Ɗari biyu da saba'in da biyu ya siyo kajin.,hausa
Matan Buhari biyu.,hausa
Ana samun wayoyi cikin akwatin lantarkin,hausa
Ƙwandishan na saka ƙaki yayi sanyi,hausa
Akwai makaranta ta horo da ake zuwa dan tuƙa jirgin ruwa,hausa
ka tabbatar ya gane labarin!,hausa
Gobe ƙanne na zasu kai ziyara gidan yaran da basu da uwa,hausa
Babbu kuskure a cikin fasaha.,hausa
mallamar na koyarwa,hausa
Likitoci na amfani da koren inufom idan zasu shiga dakin tiyata,hausa
An bada kilorokun jiya?,hausa
Yawanci kayan filawa ana haɗawa da ƙwai,hausa
Mun yi makonni biyu a cikin jirgin yanzu,hausa
Musa da malamin mu sun tattauna a makaranta.,hausa
Ta jefo musu bokiti cike da ruwa acikinsa.,hausa
Ana jefa ƙwallo mai kauri a cikin wasan motsa jiki mai ƙarfi.,hausa
Wanene ya cire soket?,hausa
makwaftan mu sun shigo jiya su gaida kakanmu da ta zo daga ƙauye,hausa
Isa ya zama kaftin a tashar jirgin ruwa,hausa
Ana amfani da wasu ganyayyaki don yi maganin cututtuka,hausa
Zan kai yarana makaranta kafin in je ofis.,hausa
Madubi yana samar da makwafin hoto.,hausa
Za ki ziyarci surukan ki gobe?,hausa
Za a mana sabon filai oba,hausa
Ya sa kakin sojoji,hausa
Ana yanka su albasa da tumatur da tattasai da wuƙa.,hausa
Yara maza da mata sun hadu suna wasan hada kalmomi,hausa
Labulaye na rage ƙura a ɗaki.,hausa
Ina ne asalin jahar kakanku?,hausa
Je ki ɗauko min maganin ciwon siga na!,hausa
A addinin krista ba a bari na miji ya auri fiye da mace ɗaya,hausa
Zamuje kanada hutu,hausa
A wasu ƙasashe sayar da giya babban laifi ne.,hausa
bulan hullan naki ne?,hausa
Zan sayi saitin rediyo gobe domin in saurari labaran duniya,hausa
Damuna ta sa shukokin sun yi kore shar.,hausa
Zan sake alartar bikin al'adar kalankuwa shekara mai zuwa.,hausa
Aski sana'a ne.,hausa
"Addinin Juda, addinin Annabi Ibrahim ne.",hausa
Ina maman ki?,hausa
"Eh, ina da shi",hausa
Sati biyu da suka wuce na gyara hita nan,hausa
Tunami na nuna shirin hotuna masu motsi na faɗa.,hausa
Zan yi wasa a kamfuta,hausa
Ahmad da khadija sunje dajin inda suka lura da dila.,hausa
Mun shayar da shuka tumatir akai-akai don tabbatar da girbi mai yawa.,hausa
Mun tashi tun tuni.,hausa
An bude wajen cin abinci a ofis dinmu,hausa
Jibi za mu fara gudanar da wasannin a makarantar mu.,hausa
An gina gida da kara.,hausa
Malamin chemistry ya bamu akin gida jiya .,hausa
A fangaren tallace tallace nake a gidan talabijin.,hausa
Jijiyoyi ke kai jini sauran sassan jiki,hausa
Abubakar gumi babban malami ne kuma alƙali ne,hausa
Zan canza kujerun mota na,hausa
Ya ce ya yi tafiyar mil ɗari da saba’in don isa nan.,hausa
Mutane na yawan jin kwadayin cin kayan ciye-ciye.,hausa
"E, akwai kuwa kam.",hausa
Likitoci na awon ciki domin su duba lafiyar yaron da ke ciki.,hausa
Zanyi amfani da zarto na yanka katakon ciki biyu,hausa
Ana yin bikin shan kabewa bayan an girbe amfanin gona.,hausa
Tatsuniyar da aka gama mana na tsoro ne.,hausa
Abuja ta shahara da yawan 'ya'yan itatuwa da kayan marmari,hausa
Bas din ya matse sosai.,hausa
Tumatur za ta yi tsada a lokacin damina.,hausa
shugaban tsangayar ya shigo,hausa
An buɗe ShopRite a garin Kaduna.,hausa
An kai Fatima ɗakin shan magana saboda tana amai,hausa
Zan tuge furanni zuwa gobe.,hausa
Ina son kalan karas din.,hausa
Lissafi duk game da kirgawa ne.,hausa
Ana buga sabbin jaridu yau da kullun tare da sabbin labarai.,hausa
Ki kaiwa kakar ki abinci.,hausa
Gara sun cinye sandar lantarki Bara,hausa
Sunan ɗinkin wai Abuja style.,hausa
Musulmai suna Sallar Juma'a duk ranar Juma'a.,hausa
Za ki iya ɗaura min gƴale?,hausa
Gobe za mu yi fim ɗin ban dariya,hausa
Dodonni sunyi rawa a bikin al'ada na noman doya.,hausa
An kai jaririyar zuwa gidan kula da marayu.,hausa
wani yana zaune a wajen mashaya,hausa
Musa yana cikin ɗakin karatu lokacin da aka fara jarabawar.,hausa
Fatima ta saka kayan nailan.,hausa
Zan wanke robar fentin idan an gama amfani da shi in rike diban ruwa a ciki.,hausa
Ajiye wakan a teburi.,hausa
Yawancin gidajen marayu a haɗe suke da gidajen jarirai,hausa
Kafofin watsa labaru na iya yaudarar jama'a.,hausa
Zakaran na Afruka mai riƙe da madafun iko ya jefa tsawon mita 21.43,hausa
Inna ta Hana mu shiga falo,hausa
Munje filin jirgin saman nnamdi Azikiwe,hausa
Ɗaki wajen hutawa ne.,hausa
Shin za'a bunkasa matsayin wurin shan maganin ma'aikata da dalibai zuwa babban asibiti ?,hausa
Akwai kunun da ake yin sa da aya,hausa
Wani zaki ya gudu daga gidan zoo.,hausa
Yana tare da naira sitin na.,hausa
Wasu ba su cin soyayen abinci.,hausa
Keke yana da kaca da injin.,hausa
Alƙalai ne ke da alhakin fassara dokoki.,hausa
Ƙaunar ƙwayoyi yana da wuyar sarrafawa,hausa
Allon mu ya lalace.,hausa
Rubutun jaridan ya fara gogewa,hausa
Ana sa ran Abuja da Legas za su haɗa kai wajen hana aukuwar gulma da tsegumi nan gaba.,hausa
Yau za ka ci taliyar yaran?,hausa
An ji wa yara ciwo dayawa.,hausa
Hausawa sun aro wasu kalmominsu ne daga larabci,hausa
A'a ba duk shekara ake samun maguɗin zaɓe ba,hausa
Eh tiyatan jami'ar Bayero na da girma.,hausa
Anso min nera ashirin.,hausa
Je ka dauko min man motata.,hausa
Iyayen mijin basu san matar.,hausa
Za a rantsar da shugaban ƙasa gobe,hausa
Sarauta yanzun da kuɗi ake siyan shi,hausa
Jeka gaida mahaifiyarka.,hausa
Baba ya je ya ɗauki Littafi Mai Tsarki don keɓe yaron.,hausa
Je ka tambayi malamin!,hausa
Taliya yana da kayan yaji a ciki.,hausa
Shugaban kasa zai bayar da umurnin a saki fursunan da aka yafe masa a hukumance,hausa
"Zan siyo ɗantuka, nan kusa.",hausa
"Hakane, kuraye sunayin ƙara da take kama da ƙyalƙyala dariya",hausa
Alli na alluna ne kuma alamomi na allo ne,hausa
Za mu yi shatar mota zuwa Abuja.,hausa
Ina rike da abarba,hausa
Turawa sun yarda cewa kare shine babban abokin ɗan Adam,hausa
Nayi doguwar tattaunawa da malamin.,hausa
Na ce ayi min jan lalle a kafa gobe.,hausa
Ƙwaƙwalwa tana da matuƙar muhimmanci ga ɗan'adam.,hausa
