text,label,char_count,word_count
"Ka je ka yi zabe, saboda damakaraɗiya ta ba kowa dama.",hausa,54,11
Fartanya tana cikin kayan Noma,hausa,30,5
"Isi nwa nwoke na isi nwa agbọghọ, duo ụmụ akwụkwọ n'ekpere ọgbakọ ụtụtụ",igbo,71,13
Ọrụaka ọ bụla nwere ngwa ndị dị iche iche e ji emepụta ya,igbo,57,13
"N'oge militrị gọọmenti, ndị ọrụ tara ahụhụ.",igbo,43,7
Gaa gbata tikeetị gị!,igbo,21,4
Agwara m ya kwụsị inye onwe ya ọgwụ,igbo,35,8
a coci za'a daurawa John da mercy aure.,hausa,39,8
Ọkùnrin ni o máa n je ọba,yoruba,25,7
Kedụ mgbe ị banyere otu Ụmụada?,igbo,31,6
Muna so mu tono ramuka don shuka.,hausa,33,7
One of the questions Al-Abadleh is trying to address is the efficiency of nanomaterials in arsenic removal from crude fuels and waste water.,English,140,23
Olú yóò tú ìtàn náà sọ.,yoruba,23,6
E nwere ọrịa ndị na-enweghi ọgwụgwọ,igbo,35,6
Dókítà mi sọ pé kí n lo panadọ́ọ̀ nítorí ara ríro,yoruba,60,11
This class focuses on proper alignment and healthy body movement mechanics to achieve comfortable and greater range of movement.,English,128,19
Aga m akpụ ajị abụ m n'abalị,igbo,28,7
Wani likita ne ya rubuta min magunguna.,hausa,39,7
Chioma bụ odeakwụkwọ,igbo,20,3
emeka zutere enyi ochie n'ahịa,igbo,30,5
"A'a, kwalejoji ba su ƙanƙanta da cibiya ba.",hausa,43,8
We continue to be concerned that U.S. transportation systems remain a key target.,English,81,13
Yuashe za a shuka itacen katakon?,hausa,33,6
Eh tiyatan jami'ar Bayero na da girma.,hausa,38,7
Ị so otu a gbaa egwu n'afọ gara aga?,igbo,36,9
Jarirai suna koyon tsayuwa ne daga wata tara zuwa shekara ɗaya.,hausa,63,11
Njẹ o rii ọrẹ rẹ ni apakan ounjẹ?,yoruba,33,8
"The General Assembly overhauled Kentucky's school system, seeking to even out school funding throughout the state.",English,114,16
a'a ba gogesu nake ba Ina dai linka su ne,hausa,41,10
Ị nweghị ike nweta Biticoinu n'aka ụlọ akụ dị n'ógbè anyị.,igbo,58,11
Egere m egwu Ọsadebe n'utụtụ.,igbo,29,5
"Most often people are older than 65 years old when they begin noticing symptoms of Alzheimer disease, but in some cases, the diagnosis comes earlier.",English,149,25
Nna unu ọ gawala nzukọ ụmụ nna ya?,igbo,34,8
Food stamps will continue to be distributed.,English,44,7
What kinds of laws might apply in a cloud scenario?,English,51,10
Jírí akwụkwọ ndụ kpuchie ede ahụ ka anwụ yara ichagbu yá,igbo,56,11
Mo rìn pẹ̀lú ẹsẹ̀ lásán lọ sí mọ́sálásí náà,yoruba,43,9
Ana samu manhajar sada zumuta dake haɗa auratayya tsakanin mutane,hausa,65,10
"After a series of key appointments in the Office of the Surgeon General, the Bureau of Medical Services and the Bureau of State Services, Dr. Price was named deputy director of NIH on July 1, 1960.",English,197,36
Keynes' views were no doubt forged from his desire to avoid a repeat of the great depression where he held onto his shares and subsequently lost his fortune along with many others.,English,180,32
Ya fara saka hotuna a youtube bara,hausa,34,7
Gwa Nkechi ka o mechie ọnụ ụzọ ama anyị ghe oghe,igbo,48,11
Maitan' shine ɗari biyu da hausa.,hausa,33,6
The reality is that freshwater sources such as lakes still have a ton of microbes in them.,English,90,17
Ṣe wà ná bàtá náà bò ní ọjọ àìkú?,yoruba,33,9
"Mba, ụgbọ ala kụrụ mgbada ahụ.",igbo,30,6
"Before installing the glass, the sealing surface must be cleaned.",English,65,10
Ìsẹ̀lẹ̀ àjálù àti àfọwọ́fà náà je ewu to n fa ikú aitọ́jọ́,yoruba,58,12
"In the 1970s, America began a love affair with cocaine.",English,55,10
Àbáyòmí ti sọ káàdì ATM rẹ̀ nù,yoruba,30,7
"Ị bịa akwụkwọ leeti, a taa gị ahụhụ!",igbo,43,8
"When it comes to your database, generally speaking, there are three kinds of failure you might eventually experience failure across a single node, failure across multiple nodes, and complete data center failure.",English,212,32
Ọ na-arahụ ụra n'ámá obodo mana ọ nwere ụlọ,igbo,43,9
Ụmụ akwụkwọ kwanyere mụ ugwu mgbe m bụ onye isi ụmụ akwụkwọ.,igbo,60,12
Having epilepsy doesn't have to mean giving up on life.,English,55,10
isi ọwụwa o ka na-awa gị?,igbo,25,6
"Mba, nwanne nne m nwoke gara ụlọ ọgwụ.",igbo,38,8
Ị chọrọ ibu Traktọ jee n'ubi gị?,igbo,32,7
Abụba dị na ketchup dị obere,igbo,28,6
Nóòtì ni ó fẹ́ fi ṣe àga náà,yoruba,28,8
Tolu so fun Titi pe ki o lo ewe dongoyaro lati fi toju ewo re.,yoruba,62,15
Arábìnrin náà forúkọsílẹ̀ fún ìtọ́jú lásìkò ìlóyún ní ilé-ìwòsàn mi.,yoruba,88,10
Adé ló mú Remote Tẹlifísàn,yoruba,26,5
Kọrị ahụ etinyere n'osikapa ahụ mere ya ọ tọọ ụtọ.,igbo,50,10
Kayan lefe shine kayan da miji kan sayawa mace kafin aure.,hausa,58,11
"Large amounts of lithium batteries, especially ones that have been stripped.",English,76,11
Mo rò pé torí onílé náà jẹ́ Ẹlẹ́sìn Ògún ni.,yoruba,44,10
Mutum ne ke tuka mota.,hausa,22,5
"The inclusion of the United States' current North American Free Trade Agreement partners... As the world stumbles toward a summer of financial winter, one part of the American economy continues its merry, five-year waltz U.S. ag exports are forecast to reach 134.5 billion in Fiscal Year 2012.",English,295,47
"The incidence of dizziness, the most common adverse event, appeared dose-related but was mild in severity in all patients who completed study drug treatment.",English,157,24
"Free MOOCs, or massive open online classes, aim to deliver an Ivy League-quality education to anyone with access to a computer and the Internet.",English,144,24
Harda turawa na zuwa shagon zamani,hausa,34,6
Gesha ya lalace,hausa,15,3
"People use it during blackouts, emergencies, for safety and security, and even while playing some games basically any time you need to see in a dark space, you'll grab your handy flashlight.",English,191,32
That kind of system is far more likely to produce an integrated approach to airport security.,English,93,16
"Rárá, wọn ò ṣe mọ̀mi-mọ̀ ọ lánàá",yoruba,32,7
Wacece ta yi mana fatan alheri?,hausa,31,6
Kusan shekaru uku yanzu.,hausa,24,4
Ọ ga-eji pawpaw wee rie osikapa ahụ,igbo,35,7
Shin kai dan wasan kwaikwayo ne?,hausa,32,6
Gbogbo ara inú ilé ẹjọ́ gbọ́dọ̀ dìde tí Adájọ́ bá fẹ́ wọnú ilé ẹjọ́,yoruba,67,14
Habiba ce take haƙin fetur.,hausa,27,5
"Nonetheless, in order to comprehend Peronismo, the movement must be separated from Justicialismo.",English,97,13
Kedu mgbe bụ ụbọchị maka ngagharị iwe?,igbo,38,7
Ị na-agbanwere m taya?,igbo,22,4
Eh Makahon yanazaune kusa da cocin.,hausa,35,6
Aga m akụziri ụmụ m ka ha ghara ịbụ ndị na-atụ asi.,igbo,51,12
"The bill would give the new regulatory agency combined oversight for the safety and soundness, as well as the housing mission, of the three housing-related government-sponsored enterprises GSEs.",English,196,28
"Gay marriage is not the end of a long struggle, but the very beginning of a brave new world whose contours we can only imagine.",English,127,25
uche gị dịkwa ya ma ị na-aga mposi n'ụlọ mposi ọhanaeze,igbo,55,11
"Ee, ọnyịnya mmiri ahụ masịrị anyị",igbo,33,6
Lissafi shine kimiyyar adadi mai tsabta.,hausa,40,6
Hausawa maza kawai suke yiwa kaciya banda mata.,hausa,47,8
Ọ̀pọ̀lọpọ̀ àwọn tó wà nínú ọmọ ogun àti ẹ̀ṣọ́ ní yóò fẹ̀yìn tì.,yoruba,63,13
"The SRs, as they were known, also conducted revolutionary agitation among the peasantry.",English,88,13
Times are in milliseconds.,English,26,4
"In some instances, though, a basic X-Y can be used to position workpieces for laser machining.",English,94,16
Ndị nkwa kụrụ egwu n'akwamozi nna m,igbo,35,7
Many nutrients are wasted on dairy farms due to oversupply through inputs from fertilizers and feeds.,English,101,16
"The results showed that osteoarthritic sheep knee joints receiving Mesoblast's stem cells had significantly greater thickness of joint cartilage, reduced cartilage breakdown, and greater biomechanical strength three months later than did control joints receiving hyaluronic acid.",English,279,36
Ẹgbẹ́ Túndé jáwé borí nínú ìbò gómìnà ìlú Èkó.,yoruba,46,9
a yóò kọ ìdánwò yorùbá .,yoruba,24,6
"They are also easily cached right on your computer, so they run nearly as fast as a locally installed program.",English,110,20
"This is a dire concern given the TPP includes countries such as Vietnam and Malaysia that export massive quantities of shrimp and other seafood to the United States, significant amounts of which are now rejected as unsafe under current policies.",English,245,40
Kar ka kalli kartoon!,hausa,21,4
Bọ ẹ̀yin náà! Ọkọ mi kígbe,yoruba,26,6
Hauter's testimony on the timber sale's likely effect on turbidity is confused and confusing.,English,93,14
Kọọrọ anyị akụkọ ifo!,igbo,21,4
"When ordinary water interacts with radioactive material, such as uranium, some of it is converted to heavy water, so elevated levels of heavy water give an early warning of contamination with radioactive material.",English,213,33
Ban gan abin yankan farcen jariri na ba.,hausa,40,8
What are the typical savant skills?,English,35,6
Kedụ mgbe ọ zụrụ pampasi ?,igbo,26,6
Tana tare da lauya,hausa,18,4
Omo olori ni yoo dari apejọ ile-iwe ni owurọ ọla,yoruba,48,10
Iyá ra eja tútú latí ọja ńlá,yoruba,28,7
Shape each piece into disk.,English,27,5
Matan da sun fi haihuwa a gida,hausa,30,7
O nyere ndị uwe ojii ahụ otu puku naịra isii na iri abụọ na ise,igbo,63,15
Mo ro ẹ̀fọ́ gúre lánàá,yoruba,22,5
Emeka na nwanne ya nwanyị na-alụ ọgụ mgbe niile,igbo,47,9
Maza basa iya ɗaukan ciki.,hausa,26,5
Mallam Saidu ya datsa ciyawan kafet da ke a bayan gidan shi jiya da dare.,hausa,73,15
"On the other hand, braking system determines your road safety, which makes them a great consideration as well.",English,110,18
Obere pilo edo edo ahụ dị n'palo adịghị mma,igbo,43,9
Taq DNA polymerase catalyzes the non-template directed addition of an adenine residue to the 3'-end of both strands of DNA molecules to make it suitable for TA cloning.,English,168,28
Kin iya yin tatsuniya?,hausa,22,4
Banye otu ndị aagha Naịjirịa?,igbo,29,5
Awọn ojú ologbọ ń bàní lẹ̀rú púpọ̀,yoruba,35,7
Ìjọ Celestial ni a máa lọ ni ọjọ ìsinmi yìí!,yoruba,44,10
Gobe za a yi yajin aiki mara iyaka,hausa,36,8
Ụmụ nwoke na-anọkarị n'ụlọ mmanya.,igbo,34,5
A na-eji mpigide e jide waya na mgbidi.,igbo,39,8
"They roost alone, usually far from their nest and mate.",English,55,10
Àwọn ènìyàn máa ń lo ọkọ̀ ojú-omi ńlá láti fi kó àwọn ọjà káàkiri àgbáyé.,yoruba,73,15
"Hanyoyin dafa abinci na gama gari sun haɗa da tafasa, gashi da soye.",hausa,68,13
Egburu onye ohi a na Fraịde gara aga.,igbo,37,8
Ta yi ta bada tsatsuniyarta amma ba wanda ya ji,hausa,47,10
Olówù ni à ń pé ọba tí Òwu.,yoruba,27,8
Sojin ƙasa da na sama mayaƙa ne.,hausa,32,7
"Àwọn ohun èlò tí wọ́n máa ń gbé ni aṣọ, àti àwọn ohun àlùmọ́nì",yoruba,62,14
Sun yi dariya da aka basu labarin abin al'ajabi.,hausa,48,9
"The discussions about bailing out Detroit have inspired state and city governments to ask for bailouts, too.",English,108,17
Magnusson is believed to be the first Swedish investor to acquire major office buildings in downtown Chicago.,English,109,17
A fẹ́ lọ ra àáké mi ní ọjọ́ ọjà,yoruba,31,9
Da bulo ake yin gini,hausa,20,5
Sai an wanke maganin gargajiya ake sha,hausa,38,7
Ọtụtụ ndị mmadụ bịara n'oge mgba omenala anyị n'afọ gara aga.,igbo,61,11
Nwa m nwoke anaghị anyụ mamịrị n'akwa ya.,igbo,41,8
You can learn more about programming with Spark 2.,English,50,9
"Ee, mmekọahụ iri ahụ adịghị mma maka ndị na-eto eto",igbo,51,10
Olóyè Àdékúnlé yóò rá èṣin kan lọsù tó n bọ̀?,yoruba,47,10
Wọn tún má ń wà ní ilé ìfimọ̀ àwọn ẹranko,yoruba,41,10
"When the NIV and all of the other modern versions change the passage to read our great God and Savior, Jesus Christ, it can imply that there is more than one great God our great God and their great God.",English,203,40
Nufodu ụlọakwụkwọ ọ bụ onyeisi ụlọakwụkwọ nwe ugbo di nụlọ ụlọakwụkwọ,igbo,73,11
Na yi miyar dage-dage jiya,hausa,26,5
Aids cuta ce da ba za a iya warkewa ba.,hausa,39,10
Likitoci na awon ciki domin su duba lafiyar yaron da ke ciki.,hausa,61,12
Olórí ilé àwọn akẹ́kọ̀ọ́ bá àwọn aláriwo wí nípa pé kò jẹ́ kí wọ́n jẹun.,yoruba,72,15
Babansa ne ya biya min hajji.,hausa,29,6
Auren shirya sun kasance ruwan dare a baya.,hausa,43,8
Ibo ni o tí má ń lọ aṣo rẹ?,yoruba,33,9
Ṣe iwọ fẹràn láti lọ sí Ilẹ̀ Brasil láti lọ kò ède Portugisi ní ọdún tí nbọ?,yoruba,76,17
Màmá mi sá èfọ́ tí wọ́n rà.,yoruba,27,7
"The Final Solution called for the extermination of all Jews and other 'undesirables' at six major death camps in Poland, Auschwitz - Birkenau, Belzec, Chelmno, Majdanek, Sobibor, and Treblinka.",English,193,29
kudin saudiyya shi ne riyal,hausa,27,5
"bẹẹni, o jẹ iroyin kan nipa awọn gbajumo osere.",yoruba,47,9
We are trying to help children realize that they can 'be the change'!,English,69,13
Onye ọbụna ga efi aka asaa na-anya maka na ndị ori yahuu kariziri.,igbo,66,13
Kuna da lambar yabo?,hausa,20,4
Ọ na-abụ agụsịa puku iri atọ agua puku iri atọ na otu.,igbo,54,12
Ruwan banɗakin mu ya daina zuwa.,hausa,32,6
A ga m agwa ya ka ọ kwụsị ebe ụgbọala na-akwụsị ndị mmadụ,igbo,57,13
"Na Naijirịa taa,i kọ akwụkwọ nri na-enye ego",igbo,44,8
"QRs were patented in 1930 by Tullio Campagnolo and  if used correctly  work perfectly well for road bikes and rim-brake MTBs, but they were not designed for use with disc-brakes.",English,180,32
"Ee, aga m eso gị kirie Shrek animeshọnu",igbo,39,8
Tinye siti beltu gị ugbua!,igbo,26,5
Otu narị naira na otu a bụ ego akwụkwọ Naijiria?,igbo,48,10
Olú máa ń lo parasítámọ̀ Emzor nígbàkigbà tí orí bá ń fọ.,yoruba,57,12
Báwo ni Funke ṣe borí ìjàkadì rẹ̀ pẹ̀lú ìmutípara?,yoruba,50,9
Sísun wà lára ọnà tí àwọn èèyàn fi máa ń gbà dáná,yoruba,49,12
Matasa nawa aka kama jiya?,hausa,26,5
Yana amfani da fartanya wurin noman kayan lambu.,hausa,48,8
A lè rí òróró lára igi ólífì.,yoruba,29,7
"Mo kúnlẹ̀ kí bàbá mi, wọ́n sì súre pé ""orí mi á kan òkè"".",yoruba,68,14
Utility commissions in some states have established regulations specifying the interconnection process.,English,103,12
Babana ya taskace ƙaddarorinsa jiya.,hausa,36,5
"Since the majority of times the initial contact you have with patients is by telephone, you must remember several important things The Appointment Book - Always give 100 percent of your attention to the person calling.",English,219,36
Laifuka kala daban daban a cikin unguwannin talakawa ake samu,hausa,61,10
Ọ na-aṅụ mmiri iji zere akpịrị ịkpọ nkụ,igbo,39,8
"This would go a long way towards ensuring decent and humane housing and treatment of animals by individuals, breeders and retailers.",English,132,21
"If you could find one living prior to 1800, his name was probably Satan.",English,72,14
Adamma jiri ego ayọrọ chụọ isi akpara nwa ya mma.,igbo,49,10
"Burma's first drug warlords were these Kuomintang Chinese generals, whose forces the CIA was arming and training to 'retake' China.",English,131,20
"That was the thought in World War II, that you couldn't integrate the military.",English,79,14
"Ana amfani da ruwan khal a, wanke kayan lambu",hausa,45,9
Phoebastria albatrus.,English,21,2
Aga m abịa n'ụlọ ọrụ gi echi,igbo,28,7
Ikuku a na-abịa ebe paaki ahụ di?,igbo,33,7
Labaren soyayya labari ne na masoya.,hausa,36,6
Agbájé n pílè orin jùjú,yoruba,23,5
Ndị ahụ nwụrụ n'agha.,igbo,21,4
Piano dị oke ọnụ,igbo,16,4
See information above for self-isolation for residential and non-residential students.,English,86,10
Ọṣẹ-ifọrun mi ti tan lánà.,yoruba,26,5
Nna nna bụ nna nne ma ọ bụ nna nna.,igbo,35,10
"To lower cholesterol blood levels, avoid foods high in saturated fats.",English,70,11
Ofe ọ bụla nwere ka e si esi ya.,igbo,32,9
"First, he or she must be suffering from an asbestos-related disease.",English,68,11
Ị hụla ka ime ụlọ m dị?,igbo,23,7
Gobe zaki wankemin gashi na,hausa,27,5
Kalar kayan sojoji kore ne,hausa,26,5
Firanṣẹ sí mí lórí WhatsApp!,yoruba,28,5
"N'eziokwu, ọ ga abụ fada.",igbo,25,5
kòkòrò oyin ni ó ń se oyin lílá.,yoruba,34,8
"Mba, o sighi efo riro nke oma.",igbo,30,7
Shin kai ƙwararren mai zane ne?,hausa,31,6
Taiwo ṣe àfihàn ìkóra-ẹni-níjàánu nípa ṣíṣe àkóso ipò tí ó le ní ìrọ̀rùn.,yoruba,73,13
Kun ci muhawarar Makarantun?,hausa,28,4
"Project White Star, those intrepid souls trying to fly a weather balloon across the Atlantic, built an excellent helical antenna to be featured as part of their next payload.",English,174,29
Cells were maintained at 37C with 5 CO2.,English,42,8
"Policymakers must decide whether to finance emergency-related spending and balance of payments shortfalls, or to reduce or divert spending to cover immediate needs, or a combination of both.",English,190,28
NEXT How long does it take for a piercing to heal?,English,50,11
A ó máa ṣe àfikún sí bí ìtàn náà ṣe lọ.,yoruba,39,11
Haƙori yake yi.,hausa,15,3
Hacker ti ákì fóònù rẹ ó sì gba owó rẹ.,yoruba,39,10
Àwọn òṣìṣẹ́ náà bomi rẹ àwọn irúgbìn lánàá.,yoruba,43,8
For example Telstra recently deployed Narrowband technology in its IoT Network which connects millions of new devices by sending small volumes of data over Telstra's mobile.,English,173,26
Awọn afijẹẹri ọjọ iwaju fun gbigba akọle le ni akojọpọ iran mejeeji ati awọn ibeere ti o da lori iteriba,yoruba,104,20
Wọ́n ní kí n ra ọ̀bẹ tuntun kan,yoruba,31,8
Wake da doya abincin gargajiya ne na Hausawa.,hausa,45,8
Wasan yana kowa yara jarunta,hausa,28,5
Turawa na san cin baked beans da buredi,hausa,39,8
Mástá Instant Nụ́dúls dị ụkọ,igbo,28,5
Askin wanzamai taltal suke yi,hausa,29,5
Wọn yóò fagilé kíkúrò nílùú àwọn dókítà.,yoruba,42,7
Kẹ̀kẹ́ Adé jẹ́ ti gbogbo èèyàn,yoruba,30,6
"Thus, MEMS have both mechanic and electronic components.",English,56,8
Miyan kuka kake dafa wa?,hausa,24,5
"Congress can introduce the powerful forces of consumer choice and competition into Medicare, forcing health plans and providers to deliver value for taxpayer and beneficiary dollars, it said in a recent report.",English,210,32
Mai gyaran wutan ya ce zai je kasuwa don siyan sakut birekan,hausa,60,12
Aga m aga nata flaagị pati anyị.,igbo,32,7
Ka ba ni ruwa a cikin kofin gilashin.,hausa,37,8
A zụtara m nne m ọlaedo obiọma a na-akpa ya.,igbo,44,10
Agwa na-enye protin.,igbo,20,3
Eh an kaimu ruwan nan na kafancan,hausa,33,7
Gúgúrú òní awọ ẹyà títún má bori ní Nàìjíríà láìpé.,yoruba,51,10
Ọncụl bụ nwanne nwoke nke nne gị ma ọ bụ nna gị.,igbo,48,12
Kíkún ile máa n bu ẹwà kún ùn.,yoruba,30,8
Many chemicals found in skincare products can enhance wrinkles while introducing harmful compounds.,English,99,13
Ogene bu ngwa egwu odinala.,igbo,27,5
njé oò ṣe aìgbọràn sí Bíbélì ?,yoruba,30,7
o nwere ihe mberede n'ihi na ọ ṅụru gin tupu ya akwọ ụgbọala,igbo,60,13
Kwunu bụ mmanya esi na ụdị ọka were mepụta,igbo,42,9
Onye ga-agbanwe nwa a toro na geto?,igbo,35,7
"Ronú nípa theocracy fún ìsẹ́jú kan, ó ya wèrè gan -an",yoruba,53,11
O máa fi èwe moringa láti fi ṣe ìtọ́jú àìsàn ọ̀tọ̀ ṣúgà rẹ̀.,yoruba,60,13
Ṣé wọ́n tí ń ṣe ètùtù ìfimáwo fún.,yoruba,43,8
Nígbà wo ni o dé láti pápákọ̀ òfúrufú,yoruba,37,8
kamar dutsen Dala da ke garin kano,hausa,34,7
cottage je ile kekere mri a mask n ko ni aye atijo,yoruba,50,12
Bana son hawan babur'n wancan mutumin dan baya wanke shi.,hausa,57,10
"It is conventionally measured as the per cent rate of increase in real gross domestic product, or real GDP, Joseph Schumpeter.",English,128,21
Ụmụ ọhụrụ na-amụ ka esi eje ije site n'igbe igbe,igbo,48,10
"They were also told not to fear the threats of war and destruction from the pagan nations, since God would protect Israel if she remained faithful to him.",English,154,28
ise akanse mi da le Lori iyewu hoteeli,yoruba,38,8
Oche iri nri na-aka nká.,igbo,24,5
"Apart from the mental instability, depression causes laziness and withholds people from being active.",English,101,14
"The test is specifically designed for women with stage I or II, estrogen receptor positive breast cancer that has not spread to the lymph nodes.",English,144,25
"ee, ọ bụ ihe nkiri ịhụnanya.",igbo,28,6
Nna m ga-azụta akwụkwọ A4.,igbo,26,5
Kai munafiki ne ?,hausa,17,4
Yàrá ìkẹ́kọ̀ọ́ ni à ń pè ní kíláàsì,yoruba,46,8
Union Bank ọ bụ ụlọ ọrụ na-akwụ ụgwọ ọha?,igbo,41,9
Most political analysts believe there to be substantial risk of failure to agree on even the minimal 1.2 trillion deficit reduction over ten years.,English,148,24
Za mu hana ta shan miyagun ƙwayoyi,hausa,34,7
"Kidney lesions cause glomerulonephritis, which may result in blood in the urine and kidney failure.",English,99,15
"In this part, we will cover the basics of creating a running web application and through a set of practical use cases, you will gain a complete mastery of all of its concepts to avoid any misunderstanding.",English,205,37
"Mu na shan kunun aya, kai ma ka sha.",hausa,36,9
"İle ifowopamọ agba ni orileede Nigeria, ló nşe eto isuna ọrọ̀ aje",yoruba,65,12
Za ka iya tuka mota zuwa Kaduna?,hausa,32,7
Makwabci na yana da gonar masana'antu inda yake shuka amfanin gona na magunguna,hausa,79,13
Kedu ụdị mmanya na-amasị gị?,igbo,28,5
Àlùfáà ní kí Olú pe ìrun ní ọjọ́ ẹtì,yoruba,36,9
"Adé wípé ""Ó rẹ ọ́ta mi""",yoruba,23,6
Tani ó jẹ ápù mi?,yoruba,17,5
Ọrụ ha sịrị na-aga arụ ụgbọelu ahu azụrụ ọhụrụ abụghị obere.,igbo,60,11
Description Students will learn about the different router tables and fence systems available.,English,95,13
Ọ sịrị na a na-akpọ egwu na redio ugbua,igbo,39,9
"Foreign and local tourists roll off of buses to walk through the dungeons of the old city hall, which was built in 1710 and is now a museum.",English,140,28
Ìwọ̀n kòkó máa ń wúwo,yoruba,21,5
A na-agbakwa ihe a kọrọ akọ mmiri.,igbo,34,7
"A 'Dale' is the local word for a valley the 'Dales' are therefore a series of valleys carrying the local rivers the Swale, Nidd, Wharfe and Ure, being the largest.",English,166,30
Mi ò sí lórí Twitter.,yoruba,21,5
Tsaƙa dabbobi ne ma su ɗauke da cuttutuka masu illar ga danAdam.,hausa,64,12
Alhaji Audu Maikaba ne.,hausa,23,4
"Ihe mejupụtara concreti bụ simenti, ájá na mmiri",igbo,48,8
Serpent  the Swan comes from the idea of dualism in nature.,English,60,12
A na-eji ụlọ rọba mee ihe owuwu ha dị mfe ma dịkwa mfe ime ọtụtụ iri afọ gara aga,igbo,81,19
Dókítà yóò gbé lọ sí ilé ẹ̀tẹ̀.,yoruba,31,7
Za su sanar da mutuwar baban su a tashar rediyo na brekete gobe da safe,hausa,71,15
Naji wai za'a canja wa ma'aikan filin jirgi nau'in kayan aikinsu.,hausa,65,11
Ụmụ ọhụrụ ga-ebe ákwá mgbe agụụ na-agụ ma ọ bụ ike gwụrụ,igbo,56,12
Àsìkò ń bọ̀ tí ìjọba máa bẹ̀rẹ̀ sì ní gba owó orí lọ́wọ́ àwọn aṣẹ́wó náà,yoruba,72,16
Ɗari biyu da hamsin da hudu yazo kafin Ɗari biyu da hamsin da biyar.,hausa,68,14
"If serious, heart block is treated with a pacemaker.",English,52,9
Sun zaɓi ayi musu mulkin sojoji.,hausa,32,6
Animal welfare authorities say a dog survived an 11-mile ride from Massachusetts to Rhode Island  at speeds of up to 50 miles per hour  after it was hit by a car and became wedged under the front grill.,English,204,40
Ana son shugabannin addini su kasance masu gaskiya.,hausa,51,8
How do they sleep at night?,English,27,6
"In a world without scarcity, the intangible things that are scarce become all the more valuable.",English,96,16
O na akpari di ya mgbe o bula o choro,igbo,37,10
Má ṣe kọ́ ilé sí ẹgbẹ́ ẹ̀rọ amúnáwá!,yoruba,36,8
Ìgbéyàwó nílò ọkùnrin àti obìnrin.,yoruba,34,5
Auren mace ɗaya daga mijin sai matar shi,hausa,40,8
Naman kasa da kinfin gwangwani da tumatur na leda duk a firiza aka fi ajiye su,hausa,78,16
Kaduna ta shahara wajen ba da fifiko ga tsarin iyali.,hausa,53,10
Sojojin ruwa suna aiki takanas tare da tashan jirgin ruwa,hausa,57,10
"YELLOWSTONE NATIONAL PARK, Wyoming AP -- A woman lost her footing after stepping over a retaining wall to take a photograph and went over a cliff, falling 500 feet to her death in a canyon, Yellowstone National Park officials said.",English,233,40
Ọ gụrụ nwa ya nwoke Nnamdi,igbo,26,6
Current values of the parameters are B1  0.5 and B2  0.2.,English,59,13
Ị ga-ahọpụta nne m?,igbo,19,4
